"county_code","constituency_code","constituency_name"
"001","001","CHANGAMWE"
"001","002","JOMVU"
"001","003","KISAUNI"
"001","004","NYALI"
"001","005","LIKONI"
"001","006","MVITA"
"002","007","MSAMBWENI"
"002","008","LUNGALUNGA"
"002","009","MATUGA"
"002","010","KINANGO"
"003","011","KILIFI NORTH"
"003","012","KILIFI SOUTH"
"003","013","KALOLENI"
"003","014","RABAI"
"003","015","GANZE"
"003","016","MALINDI"
"003","017","MAGARINI"
"004","018","GARSEN"
"004","019","GALOLE"
"004","020","BURA"
"005","021","LAMU EAST"
"005","022","LAMU WEST"
"006","023","TAVETA"
"006","024","WUNDANYI"
"006","025","MWATATE"
"006","026","VOI"
"007","027","GARISSA TOWNSHIP"
"007","028","BALAMBALA"
"007","029","LAGDERA"
"007","030","DADAAB"
"007","031","FAFI"
"007","032","IJARA"
"008","033","WAJIR NORTH"
"008","034","WAJIR EAST"
"008","035","TARBAJ"
"008","036","WAJIR WEST"
"008","037","ELDAS"
"008","038","WAJIR SOUTH"
"009","039","MANDERA WEST"
"009","040","BANISSA"
"009","041","MANDERA NORTH"
"009","042","MANDERA SOUTH"
"009","043","MANDERA EAST"
"009","044","LAFEY"
"010","045","MOYALE"
"010","046","NORTH HORR"
"010","047","SAKU"
"010","048","LAISAMIS"
"011","049","ISIOLO NORTH"
"011","050","ISIOLO SOUTH"
"012","051","IGEMBE SOUTH"
"012","052","IGEMBE CENTRAL"
"012","053","IGEMBE NORTH"
"012","054","TIGANIA WEST"
"012","055","TIGANIA EAST"
"012","056","NORTH IMENTI"
"012","057","BUURI"
"012","058","CENTRAL IMENTI"
"012","059","SOUTH IMENTI"
"013","060","MAARA"
"013","061","CHUKA/IGAMBANG'OMBE"
"013","062","THARAKA"
"014","063","MANYATTA"
"014","064","RUNYENJES"
"014","065","MBEERE SOUTH"
"014","066","MBEERE NORTH"
"015","067","MWINGI NORTH"
"015","068","MWINGI WEST"
"015","069","MWINGI CENTRAL"
"015","070","KITUI WEST"
"015","071","KITUI RURAL"
"015","072","KITUI CENTRAL"
"015","073","KITUI EAST"
"015","074","KITUI SOUTH"
"016","075","MASINGA"
"016","076","YATTA"
"016","077","KANGUNDO"
"016","078","MATUNGULU"
"016","079","KATHIANI"
"016","080","MAVOKO"
"016","081","MACHAKOS TOWN"
"016","082","MWALA"
"017","083","MBOONI"
"017","084","KILOME"
"017","085","KAITI"
"017","086","MAKUENI"
"017","087","KIBWEZI WEST"
"017","088","KIBWEZI EAST"
"018","089","KINANGOP"
"018","090","KIPIPIRI"
"018","091","OL KALOU"
"018","092","OL JOROK"
"018","093","NDARAGWA"
"019","094","TETU"
"019","095","KIENI"
"019","096","MATHIRA"
"019","097","OTHAYA"
"019","098","MUKURWEINI"
"019","099","NYERI TOWN"
"020","100","MWEA"
"020","101","GICHUGU"
"020","102","NDIA"
"020","103","KIRINYAGA CENTRAL"
"021","104","KANGEMA"
"021","105","MATHIOYA"
"021","106","KIHARU"
"021","107","KIGUMO"
"021","108","MARAGWA"
"021","109","KANDARA"
"021","110","GATANGA"
"022","111","GATUNDU SOUTH"
"022","112","GATUNDU NORTH"
"022","113","JUJA"
"022","114","THIKA TOWN"
"022","115","RUIRU"
"022","116","GITHUNGURI"
"022","117","KIAMBU"
"022","118","KIAMBAA"
"022","119","KABETE"
"022","120","KIKUYU"
"022","121","LIMURU"
"022","122","LARI"
"023","123","TURKANA NORTH"
"023","124","TURKANA WEST"
"023","125","TURKANA CENTRAL"
"023","126","LOIMA"
"023","127","TURKANA SOUTH"
"023","128","TURKANA EAST"
"024","129","KAPENGURIA"
"024","130","SIGOR"
"024","131","KACHELIBA"
"024","132","POKOT SOUTH"
"025","133","SAMBURU WEST"
"025","134","SAMBURU NORTH"
"025","135","SAMBURU EAST"
"026","136","KWANZA"
"026","137","ENDEBESS"
"026","138","SABOTI"
"026","139","KIMININI"
"026","140","CHERANGANY"
"027","141","SOY"
"027","142","TURBO"
"027","143","MOIBEN"
"027","144","AINABKOI"
"027","145","KAPSERET"
"027","146","KESSES"
"028","147","MARAKWET EAST"
"028","148","MARAKWET WEST"
"028","149","KEIYO NORTH"
"028","150","KEIYO SOUTH"
"029","151","TINDERET"
"029","152","ALDAI"
"029","153","NANDI HILLS"
"029","154","CHESUMEI"
"029","155","EMGWEN"
"029","156","MOSOP"
"030","157","TIATY"
"030","158","BARINGO  NORTH"
"030","159","BARINGO CENTRAL"
"030","160","BARINGO SOUTH"
"030","161","MOGOTIO"
"030","162","ELDAMA RAVINE"
"031","163","LAIKIPIA WEST"
"031","164","LAIKIPIA EAST"
"031","165","LAIKIPIA NORTH"
"032","166","MOLO"
"032","167","NJORO"
"032","168","NAIVASHA"
"032","169","GILGIL"
"032","170","KURESOI SOUTH"
"032","171","KURESOI NORTH"
"032","172","SUBUKIA"
"032","173","RONGAI"
"032","174","BAHATI"
"032","175","NAKURU TOWN WEST"
"032","176","NAKURU TOWN EAST"
"033","177","KILGORIS"
"033","178","EMURUA DIKIRR"
"033","179","NAROK NORTH"
"033","180","NAROK EAST"
"033","181","NAROK SOUTH"
"033","182","NAROK WEST"
"034","183","KAJIADO NORTH"
"034","184","KAJIADO CENTRAL"
"034","185","KAJIADO EAST"
"034","186","KAJIADO WEST"
"034","187","KAJIADO SOUTH"
"035","188","KIPKELION EAST"
"035","189","KIPKELION WEST"
"035","190","AINAMOI"
"035","191","BURETI"
"035","192","BELGUT"
"035","193","SIGOWET/SOIN"
"036","194","SOTIK"
"036","195","CHEPALUNGU"
"036","196","BOMET EAST"
"036","197","BOMET CENTRAL"
"036","198","KONOIN"
"037","199","LUGARI"
"037","200","LIKUYANI"
"037","201","MALAVA"
"037","202","LURAMBI"
"037","203","NAVAKHOLO"
"037","204","MUMIAS WEST"
"037","205","MUMIAS EAST"
"037","206","MATUNGU"
"037","207","BUTERE"
"037","208","KHWISERO"
"037","209","SHINYALU"
"037","210","IKOLOMANI"
"038","211","VIHIGA"
"038","212","SABATIA"
"038","213","HAMISI"
"038","214","LUANDA"
"038","215","EMUHAYA"
"039","216","MT. ELGON"
"039","217","SIRISIA"
"039","218","KABUCHAI"
"039","219","BUMULA"
"039","220","KANDUYI"
"039","221","WEBUYE EAST"
"039","222","WEBUYE WEST"
"039","223","KIMILILI"
"039","224","TONGAREN"
"040","225","TESO NORTH"
"040","226","TESO SOUTH"
"040","227","NAMBALE"
"040","228","MATAYOS"
"040","229","BUTULA"
"040","230","FUNYULA"
"040","231","BUDALANGI"
"041","232","UGENYA"
"041","233","UGUNJA"
"041","234","ALEGO USONGA"
"041","235","GEM"
"041","236","BONDO"
"041","237","RARIEDA"
"042","238","KISUMU EAST"
"042","239","KISUMU WEST"
"042","240","KISUMU CENTRAL"
"042","241","SEME"
"042","242","NYANDO"
"042","243","MUHORONI"
"042","244","NYAKACH"
"043","245","KASIPUL"
"043","246","KABONDO KASIPUL"
"043","247","KARACHUONYO"
"043","248","RANGWE"
"043","249","HOMA BAY TOWN"
"043","250","NDHIWA"
"043","251","SUBA NORTH"
"043","252","SUBA SOUTH"
"044","253","RONGO"
"044","254","AWENDO"
"044","255","SUNA EAST"
"044","256","SUNA WEST"
"044","257","URIRI"
"044","258","NYATIKE"
"044","259","KURIA WEST"
"044","260","KURIA EAST"
"045","261","BONCHARI"
"045","262","SOUTH MUGIRANGO"
"045","263","BOMACHOGE BORABU"
"045","264","BOBASI"
"045","265","BOMACHOGE CHACHE"
"045","266","NYARIBARI MASABA"
"045","267","NYARIBARI CHACHE"
"045","268","KITUTU CHACHE NORTH"
"045","269","KITUTU CHACHE SOUTH"
"046","270","KITUTU MASABA"
"046","271","WEST MUGIRANGO"
"046","272","NORTH MUGIRANGO"
"046","273","BORABU"
"047","274","WESTLANDS"
"047","275","DAGORETTI NORTH"
"047","276","DAGORETTI SOUTH"
"047","277","LANGATA"
"047","278","KIBRA"
"047","279","ROYSAMBU"
"047","280","KASARANI"
"047","281","RUARAKA"
"047","282","EMBAKASI SOUTH"
"047","283","EMBAKASI NORTH"
"047","284","EMBAKASI CENTRAL"
"047","285","EMBAKASI EAST"
"047","286","EMBAKASI WEST"
"047","287","MAKADARA"
"047","288","KAMUKUNJI"
"047","289","STAREHE"
"047","290","MATHARE"
"048","291","DIASPORA"
"049","292","PRISONS"
